,Carcinoma_AGSCC_2_10_linfoides_no_tumorales.csv,Carcinoma_AGSCC_2_11_linfoides_no_tumorales.csv,Carcinoma_AGSCC_2_12_linfoides_no_tumorales.csv,Carcinoma_AGSCC_2_13_linfoides_no_tumorales.csv,Carcinoma_AGSCC_2_14_linfoides_no_tumorales.csv,Carcinoma_AGSCC_2_15_linfoides_no_tumorales.csv,Carcinoma_AGSCC_2_16_linfoides_no_tumorales.csv,Carcinoma_AGSCC_2_17_linfoides_no_tumorales.csv,Carcinoma_AGSCC_2_18_linfoides_no_tumorales.csv,Carcinoma_AGSCC_2_19_linfoides_no_tumorales.csv,Carcinoma_AGSCC_2_1_linfoides_no_tumorales.csv,Carcinoma_AGSCC_2_20_linfoides_no_tumorales.csv,Carcinoma_AGSCC_2_21_linfoides_no_tumorales.csv,Carcinoma_AGSCC_2_22_linfoides_no_tumorales.csv,Carcinoma_AGSCC_2_23_linfoides_no_tumorales.csv,Carcinoma_AGSCC_2_24_linfoides_no_tumorales.csv,Carcinoma_AGSCC_2_25_linfoides_no_tumorales.csv,Carcinoma_AGSCC_2_26_linfoides_no_tumorales.csv,Carcinoma_AGSCC_2_27_linfoides_no_tumorales.csv,Carcinoma_AGSCC_2_28_linfoides_no_tumorales.csv,Carcinoma_AGSCC_2_29_linfoides_no_tumorales.csv,Carcinoma_AGSCC_2_2_linfoides_no_tumorales.csv,Carcinoma_AGSCC_2_30_linfoides_no_tumorales.csv,Carcinoma_AGSCC_2_31_linfoides_no_tumorales.csv,Carcinoma_AGSCC_2_32_linfoides_no_tumorales.csv,Carcinoma_AGSCC_2_33_linfoides_no_tumorales.csv,Carcinoma_AGSCC_2_34_linfoides_no_tumorales.csv,Carcinoma_AGSCC_2_35_linfoides_no_tumorales.csv,Carcinoma_AGSCC_2_36_linfoides_no_tumorales.csv,Carcinoma_AGSCC_2_37_linfoides_no_tumorales.csv,Carcinoma_AGSCC_2_38_linfoides_no_tumorales.csv,Carcinoma_AGSCC_2_39_linfoides_no_tumorales.csv,Carcinoma_AGSCC_2_3_linfoides_no_tumorales.csv,Carcinoma_AGSCC_2_40_linfoides_no_tumorales.csv,Carcinoma_AGSCC_2_4_linfoides_no_tumorales.csv,Carcinoma_AGSCC_2_5_linfoides_no_tumorales.csv,Carcinoma_AGSCC_2_6_linfoides_no_tumorales.csv,Carcinoma_AGSCC_2_7_linfoides_no_tumorales.csv,Carcinoma_AGSCC_2_8_linfoides_no_tumorales.csv,Carcinoma_AGSCC_2_9_linfoides_no_tumorales.csv,Carcinoma_FAHNSCC_14_1_linfoides_no_tumorales.csv,Carcinoma_FAHNSCC_14_2_linfoides_no_tumorales.csv,Carcinoma_FAHNSCC_14_3_linfoides_no_tumorales.csv,Carcinoma_FAHNSCC_14_4_linfoides_no_tumorales.csv,Carcinoma_FAHNSCC_14_5_linfoides_no_tumorales.csv,Carcinoma_FAHNSCC_15_1_linfoides_no_tumorales.csv,Carcinoma_FAHNSCC_15_2_linfoides_no_tumorales.csv,Dysplasia-HG_FAHNSCC_15_1_linfoides_no_tumorales.csv,Dysplasia-HG_FAHNSCC_15_2_linfoides_no_tumorales.csv,Dysplasia-HG_FAHNSCC_15_3_linfoides_no_tumorales.csv,Dysplasia-HG_FAHNSCC_15_4_linfoides_no_tumorales.csv,Dysplasia-LG_FAHNSCC_15_1_linfoides_no_tumorales.csv,Dysplasia-LG_FAHNSCC_15_2_linfoides_no_tumorales.csv,Dysplasia-Stroma_FAAGSCC_13_1_linfoides_no_tumorales.csv,Dysplasia-Stroma_FAAGSCC_13_2_linfoides_no_tumorales.csv,Dysplasia-Stroma_FAAGSCC_13_3_linfoides_no_tumorales.csv,Dysplasia-Stroma_FAAGSCC_13_4_linfoides_no_tumorales.csv,Dysplasia-Stroma_FAAGSCC_13_5_linfoides_no_tumorales.csv,Dysplasia-Stroma_FAAGSCC_13_6_linfoides_no_tumorales.csv,Dysplasia-Stroma_FAAGSCC_13_7_linfoides_no_tumorales.csv,Dysplasia-Stroma_FAAGSCC_13_8_linfoides_no_tumorales.csv,Dysplasia_FAAGSCC_13_1_linfoides_no_tumorales.csv,Dysplasia_FAAGSCC_13_2_linfoides_no_tumorales.csv,Dysplasia_FAAGSCC_13_3_linfoides_no_tumorales.csv,Dysplasia_FAAGSCC_13_4_linfoides_no_tumorales.csv,Stroma_ad_Carcinoma-Dysplasia_FAHNSCC_14_1_linfoides_no_tumorales.csv,Stroma_ad_Carcinoma_AGSCC_2_10_linfoides_no_tumorales.csv,Stroma_ad_Carcinoma_AGSCC_2_1_linfoides_no_tumorales.csv,Stroma_ad_Carcinoma_AGSCC_2_2_linfoides_no_tumorales.csv,Stroma_ad_Carcinoma_AGSCC_2_3_linfoides_no_tumorales.csv,Stroma_ad_Carcinoma_AGSCC_2_4_linfoides_no_tumorales.csv,Stroma_ad_Carcinoma_AGSCC_2_5_linfoides_no_tumorales.csv,Stroma_ad_Carcinoma_AGSCC_2_6_linfoides_no_tumorales.csv,Stroma_ad_Carcinoma_AGSCC_2_7_linfoides_no_tumorales.csv,Stroma_ad_Carcinoma_AGSCC_2_8_linfoides_no_tumorales.csv,Stroma_ad_Carcinoma_AGSCC_2_9_linfoides_no_tumorales.csv,Stroma_ad_Carcinoma_FAHNSCC_14_1_linfoides_no_tumorales.csv,Stroma_ad_Carcinoma_FAHNSCC_14_2_linfoides_no_tumorales.csv,Stroma_ad_Carcinoma_FAHNSCC_14_3_linfoides_no_tumorales.csv,Stroma_ad_Carcinoma_FAHNSCC_15_1_linfoides_no_tumorales.csv,Stroma_ad_Carcinoma_FAHNSCC_15_2_linfoides_no_tumorales.csv,Stroma_ad_Dysplasia-HG_FAHNSCC_15_1_linfoides_no_tumorales.csv,Stroma_ad_Dysplasia-HG_FAHNSCC_15_2_linfoides_no_tumorales.csv,Stroma_ad_Dysplasia-HG_FAHNSCC_15_3_linfoides_no_tumorales.csv,Stroma_ad_Dysplasia_FAAGSCC_13_10_linfoides_no_tumorales.csv,Stroma_ad_Dysplasia_FAAGSCC_13_11_linfoides_no_tumorales.csv,Stroma_ad_Dysplasia_FAAGSCC_13_1_linfoides_no_tumorales.csv,Stroma_ad_Dysplasia_FAAGSCC_13_2_linfoides_no_tumorales.csv,Stroma_ad_Dysplasia_FAAGSCC_13_3_linfoides_no_tumorales.csv,Stroma_ad_Dysplasia_FAAGSCC_13_4_linfoides_no_tumorales.csv,Stroma_ad_Dysplasia_FAAGSCC_13_5_linfoides_no_tumorales.csv,Stroma_ad_Dysplasia_FAAGSCC_13_6_linfoides_no_tumorales.csv,Stroma_ad_Dysplasia_FAAGSCC_13_7_linfoides_no_tumorales.csv,Stroma_ad_Dysplasia_FAAGSCC_13_8_linfoides_no_tumorales.csv,Stroma_ad_Dysplasia_FAAGSCC_13_9_linfoides_no_tumorales.csv,Stroma_ad_Dysplasia_FAHNSCC_14_1_linfoides_no_tumorales.csv,Stroma_ad_Dysplasia_FAHNSCC_14_2_linfoides_no_tumorales.csv,Stroma_ad_Dysplasia_FAHNSCC_14_3_linfoides_no_tumorales.csv,Stroma_ad_Dysplasia_FAHNSCC_14_4_linfoides_no_tumorales.csv
Carcinoma_AGSCC_2_10_linfoides_no_tumorales.csv,0.0,1876.3393020551616,1304.4999892728083,916.0933903805802,1005.8757278302941,923.7038597234348,621.5415944618505,1853.1305444151076,1443.7437493056254,1044.9849267974794,inf,2438.128606571157,2418.452540884643,1530.3998285562434,1913.7457685280128,2067.448770822285,1044.017413023756,902.6411833210416,1183.6472902437836,1924.0773863578065,916.1396977602108,2548.703150817858,1147.985406228437,1785.5375249775052,1957.7877788018627,1410.893601829015,1352.2531883482716,1720.6793818706387,inf,1287.4094963043972,1562.343526551503,2525.4785736902168,985.369513644356,1224.420153100751,717.4049167728006,914.9677092028951,865.6909466042814,1000.7311678859425,656.7764851913671,1181.9807773526236,953.1007529572671,1425.3099954774875,7814.180407007222,1475.75347334822,3363.380277900147,6452.03496771995,4604.796790827449,1083.984102535597,1247.3462515490735,5534.1104236623805,8375.759406412668,6448.264644693754,5837.4066985565205,4181.721610086253,8789.299343967255,8904.281439945436,7807.020554383811,6612.683646627482,11308.313625495231,6705.763351968165,13037.073457662094,1949.6981312151902,2502.051065524792,1201.0148221243455,888.1250978259081,14750.652045092444,12161.795173960198,24678.1783940916,23126.98945676646,19912.415996533044,16064.35701804269,14379.095020142317,17245.732833055827,18029.322458883096,20886.015434882742,24710.796377517465,13784.915743728627,10574.494823709718,13041.557316028715,19545.59754958473,26362.292408810255,16072.585528066704,22583.563486311028,30194.788249185865,29183.040965394684,19492.021692763472,40843.72675855525,25966.812321967373,30831.017656677934,30250.92997674017,31693.873920773985,27080.2702706309,21782.191504672628,32618.33484606432,30524.338913066975,17941.834397906663,8810.27936628114,8682.136029423367,12350.1712081321
Carcinoma_AGSCC_2_11_linfoides_no_tumorales.csv,1876.3393020551616,0.0,2644.263241362434,1583.0125085754587,1899.3067113281727,2056.256517346385,2182.5782293815596,3630.2791532428805,3074.4051296679445,2663.54737632219,inf,4025.3160143209807,4224.113477212928,1524.0462110170681,2117.3336187795226,3687.605912811102,2764.5670972057665,2548.3434776816407,2891.2391460856916,3676.0908071996228,2148.8753710606784,4340.819447479097,2829.114176815674,3306.6992555203387,3750.330002023924,2275.1044507559745,1467.4857368895455,3361.6384509682202,inf,2785.1414021715495,3051.2129902445727,4110.064749729367,2104.9934494268778,3005.9627827669424,1767.6079814748748,2491.8157112368694,1735.9872440057188,1280.8090540396106,1994.9781126124115,2687.099322915502,1514.3030656961475,1624.0657901782495,7320.570493206108,1628.0390572431108,2627.5074167657426,5863.43725874815,3830.553671341679,1478.0359954137577,1852.5723735378456,4687.285785698463,7527.170872128262,5736.17733075436,5195.465823178129,3314.1493045102725,8125.333007413631,8155.5263656696625,7190.305389819312,5951.498724034184,10334.975794254411,6272.887087976879,12811.761971340226,3117.3643400610763,3017.1602745534165,2270.7124597936404,1677.2964113094035,14505.574314926385,11801.479217798478,23983.477307161775,22488.591468556147,19427.368788594842,15603.097877619337,13965.17334403447,16902.07862207298,17607.342604016983,20345.830009903828,24224.666677990965,13671.3878008208,10285.40560686873,12823.745143119128,18982.721707675468,25599.549411223514,15621.241137183033,22053.835238112602,29580.019034946006,28256.744994427703,19152.572505925305,39583.89065877344,25194.651260200113,29134.00432196127,28770.821638672813,30294.674441132538,26024.106602993634,20243.426987304036,31330.926712320696,29576.26622597258,17369.50389283497,8440.72665658448,8327.05443153735,12016.00959479467
Carcinoma_AGSCC_2_12_linfoides_no_tumorales.csv,1304.4999892728083,2644.263241362434,0.0,2103.8623196638373,1118.6589853297387,838.210766023936,1346.8309530762235,1822.1580248935436,1314.330314432484,860.1465710651188,inf,2489.725137020916,2073.464753320234,1765.4883758147405,2283.1253217298336,1356.1940276135435,1046.935091863975,1222.6736502584613,798.7063367283314,1818.3287990806139,1381.8834098423415,2062.0301744292756,939.5251665507471,1481.2336936040053,1754.8909879810562,1729.289599938768,1877.6691126480835,1699.4248753186093,inf,715.7232158059952,1738.0297948286945,1566.687298136814,943.1351841647148,1193.785605099407,1333.5866308102686,1087.5412589938242,1127.402185001717,1838.1651215627362,1228.9258949536186,1316.4994228536343,1950.7446854047776,2569.3715501595548,8544.01386154894,2496.825503440977,4373.7077481002125,7222.166482155047,5766.492327121788,1449.6177294770957,1130.7828797844254,6504.52304258677,9480.597283521989,7467.394660897443,6716.598119365588,5123.612650439377,9767.360449088455,9897.445570486267,8788.199660923845,7571.39984575583,12281.45878608513,7317.238870340351,13211.046414001523,1721.2329151340368,1904.4437676854018,886.2702309059583,1157.9075195964995,15183.578957237092,12641.935606169625,25557.344406038417,23941.343340383934,20578.768787927238,16710.601893765277,14946.754966347344,17726.250934271367,18577.247579731178,21639.516166964175,25382.504860873054,14242.013608295385,11018.119569281744,13481.138664091766,20279.94692151622,27305.35626872885,16685.786676004755,23302.826540710437,30959.075327011607,30280.10912565571,19952.619209452656,42021.217292914975,26949.42874678402,31725.480695884387,31304.194907958565,32815.81397507731,28267.530835721212,22543.938288282894,33778.06496656263,31628.894226128486,18691.60783826898,9310.232944209996,9161.536695442572,12810.42111248579
Carcinoma_AGSCC_2_13_linfoides_no_tumorales.csv,916.0933903805802,1583.0125085754587,2103.8623196638373,0.0,1360.821007135655,1704.0834758948213,1061.1953666995687,2428.426691106233,2161.7963487551874,1781.4907981565693,inf,2786.545316253062,2986.8637500899763,1685.371349059103,2108.688399887924,2829.71403354188,1809.049217849528,1490.808083537081,1967.5577826539486,2436.6786602641537,1210.177082820449,3188.547229962638,1978.3754482071454,2380.7361945498524,2682.3353429525905,1694.6266223298974,1545.852045580703,2193.1338764806565,inf,2119.6198247762313,1809.3971642908818,3285.041702854604,1689.2448916777837,1975.0219129870457,1062.3762966871805,1593.719857552029,1405.6457469280658,756.6587282884275,1190.2255058394594,1661.9293029782152,699.7983818384182,834.2959990598657,7331.061881586288,873.5919556411668,2607.812315241925,5822.369392113547,3840.872325191052,1495.0467071518246,1703.5534607030845,5081.763987036286,7696.896659579693,5739.252296756417,5244.923362523637,3898.755841267756,8098.735480436764,8155.301932760526,7172.700753238742,5910.1848769915,10684.65747469247,6501.4365539632645,13019.776011670516,2555.3189514990354,2890.830446299523,1960.235194982149,1250.0156390616296,14534.412270475108,11851.847487880608,23966.985504282657,22456.80177242547,19406.958949566953,15603.273714970663,14013.210510275649,16959.837945050596,17652.62031146632,20308.123156309644,24200.411011500033,13631.297276653859,10339.577477516714,12836.309549280892,18938.876852755067,25596.23798884697,15632.571984558932,22013.47715476058,29544.506015873718,28324.050410169475,19211.58907521855,40040.40119474549,25220.021276492105,30313.68011647724,29740.748586528436,30969.047206746774,26224.088838712716,21431.163349387774,31813.679974452254,29658.285297192557,17324.524518479615,8489.164451830282,8381.37198425328,12072.438537232265
Carcinoma_AGSCC_2_14_linfoides_no_tumorales.csv,1005.8757278302941,1899.3067113281727,1118.6589853297387,1360.821007135655,0.0,1158.7257742330116,968.0099091128482,2117.928308922482,1830.4808923644441,1280.0477217551118,inf,2894.889800053437,2517.9857893156636,2016.1701410901505,2625.679967703075,1906.7816438498476,1261.48587247125,1080.349331204593,1322.4028785095454,1971.1090889130965,1514.6087887791753,2601.8260325545975,1205.0882925516626,1906.1284871182847,2233.182525703518,2116.3843151835704,2044.717493234454,1797.9442991652822,inf,1175.1188341235013,1983.633138672737,2369.54917884886,648.9123747380322,1513.8807869725244,1298.1288602184388,1165.974084814834,988.3746468296551,1120.1472510200497,1362.7097965658168,1435.6282398056237,1276.6194296286512,1801.4757302568623,8380.159474321192,1955.6085901833985,3806.4506086240763,6991.918598870916,5003.990508402212,916.6287864191011,1054.9440425697755,5807.500777588652,8770.866000429964,6937.309459534676,6342.832793302312,4538.952991022417,9270.886868942192,9366.550310804036,8314.580358281006,7074.924997031172,11567.04870130719,7349.623933923778,13444.130701854852,2277.971508329935,2665.0897112363136,815.7415337426485,1162.02725321875,15441.724381241504,12792.83491813325,25179.019969647896,23649.696717627274,20501.714280461296,16663.972760087854,14994.155552654589,17882.682063775654,18644.17219097397,21439.134768910568,25299.753613100693,14500.473058040678,11248.17220526012,13742.984322560094,20089.887056320462,26819.36038148262,16673.20121283801,23143.17956053325,30729.052718122126,29564.438764651914,20132.00048066119,41158.678194278575,26418.251905689543,30882.240539623614,30426.115087638103,31951.779601332273,27464.91206975192,21804.424730483563,32914.506883780414,30897.995957831306,18484.623447794977,9435.669001945726,9313.736976474554,12990.356853043355
Carcinoma_AGSCC_2_15_linfoides_no_tumorales.csv,923.7038597234348,2056.256517346385,838.210766023936,1704.0834758948213,1158.7257742330116,0.0,1214.7495287558925,1976.5253690267045,1480.8594401865384,986.339774143751,inf,2523.2498479077613,2466.447132495821,1529.6700526370478,2027.0638609756902,1824.1148452309387,1209.7097498713106,1269.7874308103364,1134.569462285814,2159.4014997054373,1187.5676613306612,2515.5126534044957,1139.051783877525,1651.2111461966842,1956.2044622690191,1457.4449314955095,1558.8164755801108,1928.3751898527798,inf,1083.7774020069287,1843.3510152723193,2163.6785826208725,946.7910290416221,1398.8880101594957,986.1062806017255,995.2273207481767,574.4246479331359,1345.8310636483216,850.5367037897645,1389.2689379799572,1535.7609826172902,2152.754143120753,8333.21137250418,2124.3008069257526,4036.4110366232785,6994.180401491899,5330.912495945902,1126.3853066092627,949.4213029712548,6099.779737218208,9051.87261917646,7111.926121008193,6415.136657216159,4685.3991186816365,9444.468779671328,9552.213085950598,8395.13336737369,7244.895767858716,11788.44649134364,7074.770906245645,13088.21352531185,1682.0976901620968,2019.2931854652725,882.7544441314903,754.8878501764458,14946.66508937333,12413.388618044077,25287.51369650215,23710.96116771087,20359.16643914095,16490.391832483558,14731.592854538767,17496.327042845638,18363.081333753835,21412.537893122313,25163.70692731969,13989.934401402721,10776.999413828253,13237.22538556474,20068.98030107241,26999.18086226925,16466.747970409895,23092.678712280995,30748.017394764804,29891.082836085705,19716.3520261783,41495.98384401411,26617.899167325635,31115.22140221476,30665.758897276075,32211.194144770037,27825.85151203116,21925.188482268226,33244.03808181541,31237.76341056001,18476.04516313701,9095.412462336291,8933.872567922508,12572.62043094362
Carcinoma_AGSCC_2_16_linfoides_no_tumorales.csv,621.5415944618505,2182.5782293815596,1346.8309530762235,1061.1953666995687,968.0099091128482,1214.7495287558925,0.0,1902.4630632070694,1492.7077881016087,1165.0827206525207,inf,2538.973115528552,2340.537279889342,1885.7630463502965,2170.740025780096,2018.8761706862053,1033.4140518724528,900.0902787219948,1168.6533551508178,1638.6501523708148,1177.630590102985,2416.160699773597,1123.3214152109938,1833.6782153150061,1889.8307477134322,1701.2277946609515,1757.8910168052912,1567.0841272225398,inf,1340.594736851377,1407.2495109622796,2492.339568087924,965.5770052322512,1340.4202785665689,990.0111388693053,1064.9357924532865,1067.3116980877605,1261.072431898106,941.6822700250657,1263.236307461887,1056.4575900785287,1543.6656356197607,7996.158110084088,1590.0048640168154,3517.6274199091085,6585.242162960317,4777.949887777589,1179.2217150692895,1316.9505102376922,5745.886428746883,8555.116504129513,6572.383832494446,5978.627905346776,4511.826228348901,8943.32470482898,9026.325962175168,7985.353499735667,6720.173172657991,11411.770864388307,6990.406755132728,13328.598865963446,2321.833178462232,2837.8621233027748,1095.8375336920087,1263.0297285596841,14884.666240949871,12310.657437493524,24808.92669854426,23257.7766992734,20080.367207075273,16238.59116184421,14557.240571239483,17395.184094143926,18206.51866289024,21037.099473178216,24879.012434558765,13921.234621520403,10712.222711577939,13173.197985821806,19689.983297969226,26482.437738427343,16247.434929657851,22738.401141589067,30331.209935552626,29297.497200835944,19628.939832084518,40913.398164938444,26131.305562281792,31030.269404188453,30443.630665843706,31761.36076829136,27203.907664117174,22060.552185998717,32673.155928870412,30639.859757239712,18085.555484241857,8973.511978755903,8829.796644038695,12487.119972081002
Carcinoma_AGSCC_2_17_linfoides_no_tumorales.csv,1853.1305444151076,3630.2791532428805,1822.1580248935436,2428.426691106233,2117.928308922482,1976.5253690267045,1902.4630632070694,0.0,1024.969864011397,1398.3273271531893,inf,1324.3652769778373,878.6490761358137,2291.4077880341342,1653.571958122482,1124.3299349903873,1204.7053032636236,1460.4638793141507,1472.6485880363903,705.2089068707018,1618.7953007884437,1055.0644530866775,1358.0280040424232,1198.600655452447,730.1440357189065,1433.8350713797017,2550.091405435978,1054.9762671167678,inf,1497.4943420301079,1117.5467858666332,1853.489111291592,2196.621374355152,897.9531061095993,2015.3784641083705,1454.6382257747387,2055.7734525071905,2641.128848565457,1742.6608432166627,1130.8897418631786,2437.6166750035673,2901.5109499768228,8099.811001373633,2663.6260577766143,4329.330025784803,7016.86591385645,6024.368800708445,2674.0276163212757,2361.727148787039,7009.630658225192,9883.911937358727,7619.147749474051,6772.1313030349565,5838.706592522387,9772.369325291778,9873.891770940165,9026.542348735871,7442.957154295049,12831.375680500209,7464.309733697478,12789.662754968153,1838.8000107408939,3000.0440752911727,2030.6462434416467,2336.794981107563,13852.56211306681,11600.108269272567,25133.344819551636,23430.88789409042,19840.727057988497,16071.0939295544,14265.577350216096,16635.94175432256,17659.2886084532,21339.942801968184,24691.913265814183,12816.07820265531,9699.645081795363,12135.589896913902,19695.759319209395,26981.326844161205,15873.005614651764,22701.454811549454,30368.323713685928,30147.32282570531,18794.350605227963,42364.29665360949,26821.015404744536,32596.16132921804,32009.73235995279,33333.06429879653,28522.282634659838,23568.871287767386,34155.365003572195,31509.70519218114,18129.452004050767,8232.408118459818,8075.007640497445,11716.204317449245
Carcinoma_AGSCC_2_18_linfoides_no_tumorales.csv,1443.7437493056254,3074.4051296679445,1314.330314432484,2161.7963487551874,1830.4808923644441,1480.8594401865384,1492.7077881016087,1024.969864011397,0.0,963.2420967826793,inf,1865.1304093361514,1468.4335872632707,1656.844903413963,1554.3898815362907,870.5416227297187,866.3025855433107,1216.0433149721177,976.2700880922876,1147.7242814420003,1169.1841522730424,1401.9751911692351,1044.0619441316458,1079.2537629586009,770.1071085878622,1218.0000299086194,1931.9283802700643,922.4633498016951,inf,1085.2356130922649,1156.2862505372307,1508.8840325329224,1657.7121226604859,656.6188465688135,1507.371720509525,1122.2410431794328,1669.5796252573668,2143.193947519535,1301.9267318045604,848.03298520464,2273.364792067214,2740.5052399138544,8288.540821553044,2494.7915880850464,4305.580796248926,7050.798095106222,5771.890893061693,1935.0663719587787,1738.2055946543073,6747.355986657616,9586.366819673574,7455.078333441632,6694.549604799911,5324.772093881488,9651.75544701573,9840.980891506126,8800.284391923262,7456.6440063679365,12519.035601745849,7107.58388535626,13039.337163467944,1742.1356964397926,2586.789706643348,1712.6187460020965,1640.4421321269158,14240.877020898943,11967.773697185623,25372.760448780366,23699.1236866122,20176.479717682996,16358.066534453876,14550.809679713975,17002.556645661753,18021.302716790025,21451.771786686826,25000.926606697325,13202.003505179324,10088.552420341242,12523.267114795983,19989.898996902575,27154.269158107356,16216.87873684047,22999.322704075974,30667.245062048543,30212.87912662527,19175.584264731664,42168.61153885309,26847.396106471268,32120.994133518172,31590.573669872603,33050.71507061205,28319.2955139875,22918.101180436806,33946.262373520534,31560.06760022195,18424.7572219068,8611.512965534717,8443.012633105514,12086.251046373514
Carcinoma_AGSCC_2_19_linfoides_no_tumorales.csv,1044.9849267974794,2663.54737632219,860.1465710651188,1781.4907981565693,1280.0477217551118,986.339774143751,1165.0827206525207,1398.3273271531893,963.2420967826793,0.0,inf,1859.1255760372396,1685.146908459963,1575.7582290729501,1790.9364168724896,1156.3961814285672,642.1573230852732,770.0377151687693,487.6333598725026,1448.432768900816,1004.1179388796191,1723.1446303704183,589.421588618455,983.3063034175888,1473.6294547381128,1226.5192954350846,1514.638939275195,1258.3031175113645,inf,686.9635398866963,1283.2262347655806,1659.3362389843421,1137.7616916525653,893.5099790247848,1120.5964133136135,559.8481711123851,1099.8170763460328,1755.6716388173666,948.3918942501209,789.785788857243,1838.7582946728419,2313.9784611413593,8158.100490720121,2132.2435053177196,3994.794715153162,6859.938933278264,5407.3083006089355,1545.8397103847012,1220.2304733163915,6223.103998150672,9179.944360875776,7097.910018447059,6356.655111873805,4907.594343265726,9359.183133360746,9516.197062233277,8432.37632167379,7176.797806029567,12096.74870989094,6950.62427946364,12675.8502299383,1351.7791252069646,2156.5349527400303,1207.4174197251418,1359.3721761566562,14657.719148500159,12148.786809727088,25144.369919092303,23546.691425175602,20186.850032723105,16317.080958916255,14521.649389335615,17228.871565646154,18136.85076176318,21244.011024461393,24986.740745098476,13694.081944673753,10493.05623556648,12946.930840158542,19898.98188191777,26888.981550521752,16261.69703156379,22921.927147498194,30578.2770708357,29897.29905976981,19444.840093985964,41749.671813385066,26559.915470849483,31688.602453176718,31153.23353663792,32611.201040818156,27918.794746439715,22529.07603825351,33523.64785251767,31244.874572459874,18306.252468969837,8832.03766124694,8668.69678829028,12302.411224527583
