CellID,Hoechst_1,CD4,FOXP3,PD-L1,Vimentin,Hoechst_2,IBA1,SOX2,PD-1,Hoechst_3,CD163,PAN-CK,gH2AX,Hoechst_4,TIM3,CD11c,CD8a,Hoechst_5,E-cadherin,CD66b,CD20,Hoechst_6,Ki67,p-S6,CD31,Hoechst_7,CD45RO,HLA-DBP1,NKG2A,CD45_2,X_centroid,Y_centroid,Area,MajorAxisLength,MinorAxisLength,Eccentricity,Solidity,Extent,Orientation,Sample,Condition,Replicate,imageid,phenotype,Delete,TDA
84,1382.402193784278,147.78793418647166,59.61974405850091,623.2998171846435,33.261425959780624,1353.2614259597806,915.9926873857404,301.9159049360146,1157.9360146252286,1423.583180987203,595.9287020109689,3399.2632541133457,1088.5722120658136,1587.5063985374773,605.5941499085923,376.2102376599634,285.4387568555759,1072.387568555759,1618.106032906764,156.77513711151738,111.9597806215722,1925.5703839122489,239.19926873857403,470.3948811700183,454.1188299817185,698.6983546617915,291.14076782449723,118.08226691042049,1064.0822669104205,409.2669104204753,12822.148080438756,14568.411334552102,547.0,32.5561692220114,21.47468689291277,0.7515996278553728,0.968141592920354,0.7671809256661991,-0.3293338966000769,FAHNSCC_11B,HN,1,FAHNSCC_11B,tumor cells,,HG-dysplasia_and_stroma_FAHNSCC_11B_1
89,949.1348747591522,87.90558766859345,53.29094412331406,619.252408477842,24.38728323699421,853.0712909441233,567.3660886319846,234.26204238921,1156.1252408477842,1063.146435452794,428.6281310211946,2498.2312138728325,1082.8747591522158,1439.6011560693642,499.10211946050094,272.2639691714836,99.7456647398844,1074.366088631985,1695.6493256262042,156.97687861271675,66.78998073217727,2084.863198458574,195.1907514450867,1714.2157996146436,454.3757225433526,713.805394990366,314.7630057803468,459.4836223506744,1097.6396917148363,413.2312138728324,12613.788053949904,14670.996146435453,519.0,29.437331882292103,22.51935685472328,0.6440384310718121,0.9593345656192236,0.7456896551724138,-0.3010182085018253,FAHNSCC_11B,HN,1,FAHNSCC_11B,tumor cells,,HG-dysplasia_and_stroma_FAHNSCC_11B_1
106,3178.232421875,219.49609375,79.935546875,634.88671875,248.44140625,3331.953125,3026.263671875,216.857421875,1182.85546875,3352.021484375,1973.33984375,969.6171875,1108.630859375,3486.24609375,772.08984375,539.5,135.77734375,1885.71875,941.8125,166.23828125,123.974609375,2366.62890625,218.125,378.703125,543.9140625,752.255859375,333.23828125,235.701171875,1069.341796875,413.6015625,13026.205078125,14572.619140625,512.0,25.89996338997151,25.25144791856643,0.2223769814702396,0.973384030418251,0.757396449704142,1.1189250121802252,FAHNSCC_11B,HN,1,FAHNSCC_11B,M2 macrophages,,HG-dysplasia_and_stroma_FAHNSCC_11B_1
127,1398.3195548489666,106.85055643879171,58.44992050874403,614.5818759936407,11.308426073131956,1384.953895071542,344.3068362480127,258.66772655007946,1132.9109697933227,1490.0588235294117,433.8426073131956,1932.5278219395864,1088.2941176470588,1781.141494435612,474.2559618441972,156.13672496025438,189.0810810810811,1171.335453100159,1144.6248012718602,166.24801271860096,136.0953895071542,2085.14626391097,172.9825119236884,920.6534181240064,453.71065182829886,811.4801271860096,361.0969793322735,249.93799682034967,1099.4992050874405,413.4610492845787,12989.87122416534,14817.465818759936,629.0,30.76514416064567,26.082435119076365,0.5303292981705586,0.9632465543644716,0.7488095238095238,-0.5293484035694143,FAHNSCC_11B,HN,1,FAHNSCC_11B,tumor cells,,HG-dysplasia_and_stroma_FAHNSCC_11B_1
169,1463.784,77.726,51.844,613.68,12.916,1363.388,474.104,189.382,1129.514,1227.45,375.522,5324.068,1080.078,1626.43,449.334,201.404,205.422,1091.344,1577.188,163.548,115.132,2044.188,173.042,937.03,451.158,781.786,321.8,181.496,1082.48,409.312,13894.532,15346.738,500.0,26.579723781984995,23.95703645431507,0.4331382066470067,0.9652509652509652,0.7692307692307693,1.246290866669488,FAHNSCC_11B,HN,1,FAHNSCC_11B,tumor cells,,HG-dysplasia_and_stroma_FAHNSCC_11B_1
199,2245.7321428571427,161.77272727272728,69.31818181818181,645.7402597402597,423.288961038961,2584.7743506493507,810.9464285714286,189.34415584415584,1132.25487012987,2711.1006493506493,788.0795454545455,140.34902597402598,1091.1331168831168,3407.154220779221,411.3100649350649,195.69155844155844,132.91883116883116,1969.840909090909,369.6071428571428,171.07792207792207,85.25324675324676,2787.99512987013,184.74837662337663,1205.2743506493507,742.8587662337662,691.1071428571429,288.1461038961039,104.137987012987,1042.1477272727273,409.1396103896104,14327.099025974028,14317.751623376624,616.0,31.1438466070275,25.28759220673744,0.583711537201324,0.9640062597809076,0.7642679900744417,1.345007002184556,FAHNSCC_11B,HN,1,FAHNSCC_11B,stromal cells,,HG-dysplasia_and_stroma_FAHNSCC_11B_1
210,2279.081712062257,104.8715953307393,52.15953307392997,622.1964980544747,30.079766536964986,2540.112840466926,787.1731517509728,320.66147859922177,1132.0389105058366,2505.5836575875487,582.6634241245137,3295.599221789884,1116.4182879377431,2364.5739299610896,587.9552529182879,357.568093385214,130.69260700389106,1436.1867704280155,2365.0272373540856,170.78793774319067,101.715953307393,2196.2898832684823,946.089494163424,771.8365758754863,457.8463035019455,734.3501945525292,343.3968871595331,184.82101167315176,1071.6828793774318,412.0272373540856,13503.735408560313,14679.824902723736,514.0,27.87934295651356,23.502529808956982,0.5378998627990893,0.957169459962756,0.7342857142857143,-0.4181283445050186,FAHNSCC_11B,HN,1,FAHNSCC_11B,Ki67+ tumor cells,,HG-dysplasia_and_stroma_FAHNSCC_11B_1
227,2524.635111876076,102.8209982788296,53.39414802065404,618.2323580034423,35.10154905335628,2919.826161790017,783.697074010327,245.3958691910499,1133.5077452667815,2992.378657487091,541.7745266781411,6272.910499139415,1118.6695352839931,3056.5301204819275,787.9363166953528,400.8967297762479,178.3734939759036,1787.2030981067126,2694.3872633390706,170.0,95.41135972461274,2441.8244406196213,5115.734939759036,317.61790017211706,456.9156626506024,738.697074010327,347.81411359724615,205.30292598967296,1087.671256454389,411.9948364888124,13480.977624784851,14659.731497418245,581.0,29.50702505484898,25.090990112472586,0.5262344217932644,0.9731993299832497,0.7969821673525377,-0.7966264794768051,FAHNSCC_11B,HN,1,FAHNSCC_11B,Ki67+ tumor cells,,HG-dysplasia_and_stroma_FAHNSCC_11B_1
299,2072.626641651032,141.39774859287056,64.45403377110694,619.0037523452157,28.452157598499063,2032.9643527204505,737.8724202626641,333.31519699812384,1144.2701688555346,2046.6097560975609,475.812382739212,4509.714821763602,1151.5816135084428,2060.324577861163,591.1688555347092,275.47279549718576,160.093808630394,1197.939962476548,2126.9606003752347,160.63227016885554,99.28142589118198,1913.966228893058,282.89118198874297,251.47279549718573,452.609756097561,690.6510318949344,294.812382739212,180.6904315196998,1061.439024390244,408.7260787992496,12970.893058161351,14630.12382739212,533.0,27.47658874581395,24.867999212021857,0.4252809730890794,0.95863309352518,0.7896296296296297,-1.0488161442922015,FAHNSCC_11B,HN,1,FAHNSCC_11B,tumor cells,,HG-dysplasia_and_stroma_FAHNSCC_11B_1
360,2699.4665676077266,147.1441307578009,64.33580980683507,628.2466567607727,161.64041604754829,2812.286775631501,2237.818722139673,239.2332838038633,1145.6225854383358,2943.178306092125,584.148588410104,2783.0475482912334,1109.441307578009,2893.0178306092125,960.4754829123328,2864.173848439821,100.258543833581,1579.7488855869242,1869.0817236255573,165.10104011887074,139.57206537890045,2239.6151560178305,3382.124814264487,808.4784546805349,462.3224368499257,682.2273402674591,287.18722139673105,303.8915304606241,1034.2882615156018,408.99554234769687,12588.51560178306,14520.264487369985,673.0,33.33628576864381,25.74379047146857,0.6353244643356145,0.9614285714285714,0.7613122171945701,-0.1361256638678509,FAHNSCC_11B,HN,1,FAHNSCC_11B,dendritic cells,,HG-dysplasia_and_stroma_FAHNSCC_11B_1
