,Carcinoma_AGSCC_2_10_tumorales_no_tumorales.csv,Carcinoma_AGSCC_2_11_tumorales_no_tumorales.csv,Carcinoma_AGSCC_2_12_tumorales_no_tumorales.csv,Carcinoma_AGSCC_2_13_tumorales_no_tumorales.csv,Carcinoma_AGSCC_2_14_tumorales_no_tumorales.csv,Carcinoma_AGSCC_2_15_tumorales_no_tumorales.csv,Carcinoma_AGSCC_2_16_tumorales_no_tumorales.csv,Carcinoma_AGSCC_2_17_tumorales_no_tumorales.csv,Carcinoma_AGSCC_2_18_tumorales_no_tumorales.csv,Carcinoma_AGSCC_2_19_tumorales_no_tumorales.csv,Carcinoma_AGSCC_2_1_tumorales_no_tumorales.csv,Carcinoma_AGSCC_2_20_tumorales_no_tumorales.csv,Carcinoma_AGSCC_2_21_tumorales_no_tumorales.csv,Carcinoma_AGSCC_2_22_tumorales_no_tumorales.csv,Carcinoma_AGSCC_2_23_tumorales_no_tumorales.csv,Carcinoma_AGSCC_2_24_tumorales_no_tumorales.csv,Carcinoma_AGSCC_2_25_tumorales_no_tumorales.csv,Carcinoma_AGSCC_2_26_tumorales_no_tumorales.csv,Carcinoma_AGSCC_2_27_tumorales_no_tumorales.csv,Carcinoma_AGSCC_2_28_tumorales_no_tumorales.csv,Carcinoma_AGSCC_2_29_tumorales_no_tumorales.csv,Carcinoma_AGSCC_2_2_tumorales_no_tumorales.csv,Carcinoma_AGSCC_2_30_tumorales_no_tumorales.csv,Carcinoma_AGSCC_2_31_tumorales_no_tumorales.csv,Carcinoma_AGSCC_2_32_tumorales_no_tumorales.csv,Carcinoma_AGSCC_2_33_tumorales_no_tumorales.csv,Carcinoma_AGSCC_2_34_tumorales_no_tumorales.csv,Carcinoma_AGSCC_2_35_tumorales_no_tumorales.csv,Carcinoma_AGSCC_2_36_tumorales_no_tumorales.csv,Carcinoma_AGSCC_2_37_tumorales_no_tumorales.csv,Carcinoma_AGSCC_2_38_tumorales_no_tumorales.csv,Carcinoma_AGSCC_2_39_tumorales_no_tumorales.csv,Carcinoma_AGSCC_2_3_tumorales_no_tumorales.csv,Carcinoma_AGSCC_2_40_tumorales_no_tumorales.csv,Carcinoma_AGSCC_2_4_tumorales_no_tumorales.csv,Carcinoma_AGSCC_2_5_tumorales_no_tumorales.csv,Carcinoma_AGSCC_2_6_tumorales_no_tumorales.csv,Carcinoma_AGSCC_2_7_tumorales_no_tumorales.csv,Carcinoma_AGSCC_2_8_tumorales_no_tumorales.csv,Carcinoma_AGSCC_2_9_tumorales_no_tumorales.csv,Carcinoma_FAHNSCC_14_1_tumorales_no_tumorales.csv,Carcinoma_FAHNSCC_14_2_tumorales_no_tumorales.csv,Carcinoma_FAHNSCC_14_3_tumorales_no_tumorales.csv,Carcinoma_FAHNSCC_14_4_tumorales_no_tumorales.csv,Carcinoma_FAHNSCC_14_5_tumorales_no_tumorales.csv,Carcinoma_FAHNSCC_15_1_tumorales_no_tumorales.csv,Carcinoma_FAHNSCC_15_2_tumorales_no_tumorales.csv,Dysplasia-HG_FAHNSCC_15_1_tumorales_no_tumorales.csv,Dysplasia-HG_FAHNSCC_15_2_tumorales_no_tumorales.csv,Dysplasia-HG_FAHNSCC_15_3_tumorales_no_tumorales.csv,Dysplasia-HG_FAHNSCC_15_4_tumorales_no_tumorales.csv,Dysplasia-LG_FAHNSCC_15_1_tumorales_no_tumorales.csv,Dysplasia-LG_FAHNSCC_15_2_tumorales_no_tumorales.csv,Dysplasia-Stroma_FAAGSCC_13_1_tumorales_no_tumorales.csv,Dysplasia-Stroma_FAAGSCC_13_2_tumorales_no_tumorales.csv,Dysplasia-Stroma_FAAGSCC_13_3_tumorales_no_tumorales.csv,Dysplasia-Stroma_FAAGSCC_13_4_tumorales_no_tumorales.csv,Dysplasia-Stroma_FAAGSCC_13_5_tumorales_no_tumorales.csv,Dysplasia-Stroma_FAAGSCC_13_6_tumorales_no_tumorales.csv,Dysplasia-Stroma_FAAGSCC_13_7_tumorales_no_tumorales.csv,Dysplasia-Stroma_FAAGSCC_13_8_tumorales_no_tumorales.csv,Dysplasia_FAAGSCC_13_1_tumorales_no_tumorales.csv,Dysplasia_FAAGSCC_13_2_tumorales_no_tumorales.csv,Dysplasia_FAAGSCC_13_3_tumorales_no_tumorales.csv,Dysplasia_FAAGSCC_13_4_tumorales_no_tumorales.csv,Stroma_ad_Carcinoma-Dysplasia_FAHNSCC_14_1_tumorales_no_tumorales.csv,Stroma_ad_Carcinoma_AGSCC_2_10_tumorales_no_tumorales.csv,Stroma_ad_Carcinoma_AGSCC_2_1_tumorales_no_tumorales.csv,Stroma_ad_Carcinoma_AGSCC_2_2_tumorales_no_tumorales.csv,Stroma_ad_Carcinoma_AGSCC_2_3_tumorales_no_tumorales.csv,Stroma_ad_Carcinoma_AGSCC_2_4_tumorales_no_tumorales.csv,Stroma_ad_Carcinoma_AGSCC_2_5_tumorales_no_tumorales.csv,Stroma_ad_Carcinoma_AGSCC_2_6_tumorales_no_tumorales.csv,Stroma_ad_Carcinoma_AGSCC_2_7_tumorales_no_tumorales.csv,Stroma_ad_Carcinoma_AGSCC_2_8_tumorales_no_tumorales.csv,Stroma_ad_Carcinoma_AGSCC_2_9_tumorales_no_tumorales.csv,Stroma_ad_Carcinoma_FAHNSCC_14_1_tumorales_no_tumorales.csv,Stroma_ad_Carcinoma_FAHNSCC_14_2_tumorales_no_tumorales.csv,Stroma_ad_Carcinoma_FAHNSCC_14_3_tumorales_no_tumorales.csv,Stroma_ad_Carcinoma_FAHNSCC_15_1_tumorales_no_tumorales.csv,Stroma_ad_Carcinoma_FAHNSCC_15_2_tumorales_no_tumorales.csv,Stroma_ad_Dysplasia-HG_FAHNSCC_15_1_tumorales_no_tumorales.csv,Stroma_ad_Dysplasia-HG_FAHNSCC_15_2_tumorales_no_tumorales.csv,Stroma_ad_Dysplasia-HG_FAHNSCC_15_3_tumorales_no_tumorales.csv,Stroma_ad_Dysplasia_FAAGSCC_13_10_tumorales_no_tumorales.csv,Stroma_ad_Dysplasia_FAAGSCC_13_11_tumorales_no_tumorales.csv,Stroma_ad_Dysplasia_FAAGSCC_13_1_tumorales_no_tumorales.csv,Stroma_ad_Dysplasia_FAAGSCC_13_2_tumorales_no_tumorales.csv,Stroma_ad_Dysplasia_FAAGSCC_13_3_tumorales_no_tumorales.csv,Stroma_ad_Dysplasia_FAAGSCC_13_4_tumorales_no_tumorales.csv,Stroma_ad_Dysplasia_FAAGSCC_13_5_tumorales_no_tumorales.csv,Stroma_ad_Dysplasia_FAAGSCC_13_6_tumorales_no_tumorales.csv,Stroma_ad_Dysplasia_FAAGSCC_13_7_tumorales_no_tumorales.csv,Stroma_ad_Dysplasia_FAAGSCC_13_8_tumorales_no_tumorales.csv,Stroma_ad_Dysplasia_FAAGSCC_13_9_tumorales_no_tumorales.csv,Stroma_ad_Dysplasia_FAHNSCC_14_1_tumorales_no_tumorales.csv,Stroma_ad_Dysplasia_FAHNSCC_14_2_tumorales_no_tumorales.csv,Stroma_ad_Dysplasia_FAHNSCC_14_3_tumorales_no_tumorales.csv,Stroma_ad_Dysplasia_FAHNSCC_14_4_tumorales_no_tumorales.csv
Carcinoma_AGSCC_2_10_tumorales_no_tumorales.csv,0.0,1183.3189921451976,2172.579940930518,1049.2959095144706,1042.450089528045,1298.8620455617306,1898.1087487867442,1134.253650741933,1500.0797758874774,1947.1968685985207,6448.596796350602,4665.1397805126235,2826.149106318464,2636.0680896109766,1316.427531556926,4191.888781498459,4810.773161611147,1717.601397618295,3212.4290247263984,934.8331497235492,1212.2128923245589,4130.964529358185,477.17865142303,1684.089767911963,4570.182494217421,2085.2910895866075,2007.6104657715118,5028.587569881609,2922.7456795101275,1789.38553699094,3014.7917908950544,3298.7801171128235,4020.7223274631374,2959.25070271553,2084.5915447371735,1798.2696369086884,1618.207865223375,2710.4945226624322,1710.2055962656534,1100.6870841843413,5198.177330563459,5877.576217463841,13622.192154377686,4677.6432688391715,7258.340706309074,8367.337612975942,9174.432047417642,4329.244709921769,9085.80667648543,8938.43943700832,10276.798197818485,14705.383234423238,14042.070625326498,7120.518785538029,15275.528568560296,12552.643300752461,16525.91125206998,8915.397343904602,16231.863089884975,7326.251245319041,14545.750810809299,12442.75678054976,15123.495868327029,7909.529239168913,4545.112798228935,20106.306337874405,21140.20487319837,25975.759477372045,24293.958272924174,14613.033759651747,12998.931684996938,16746.624816356398,11052.087685199875,15760.668192435367,16368.66325646256,18107.396967516266,19155.93217027093,20733.636679153842,17476.234074703654,14958.47134690495,20602.749041558884,14636.006366008654,13610.430399879684,22906.63980413198,29870.395126666273,11157.700883663383,44780.56909291646,19615.86661960932,40545.02847966367,33385.442375576386,28997.23593347885,26397.395446717666,24967.743044805495,33775.05453913787,26793.365549371316,18469.074844924962,22991.014049500234,24325.085298299626,17377.604332414146
Carcinoma_AGSCC_2_11_tumorales_no_tumorales.csv,1183.3189921451976,0.0,3002.5417713971433,556.2819825781371,1841.0746516196352,2187.883483421153,1450.309287681308,1677.958455279822,2451.4798739742905,1229.420731100353,6980.268636888686,5464.514854066122,3774.098574309852,3591.8314816693414,2205.3768633606596,3440.495768343849,4021.520925064705,2664.620059462896,3991.959061742073,1827.6326707684086,1955.5234904976996,4242.6942780717145,914.9004988512737,769.7231616804698,3867.659491595582,2656.769992391494,2420.9731501164842,5782.330135349831,3772.3296658808085,1109.5620310948495,1877.4143174228705,3961.174949453627,4315.511460682803,2357.9292663547167,1147.3941246309291,897.632059489262,878.3471370995248,2062.043125375644,829.4460054562998,490.7521898210131,4428.712744644226,5113.246805899907,13164.726107349261,4313.936914814038,6555.18778705049,7944.613567620022,9014.293953735281,3959.2990676901336,9133.800700708915,9057.137998351862,10405.227653715021,14357.64298891409,13728.026018031924,6777.335584392265,14668.359952263625,12142.069508379444,15933.67707164892,8214.567904789137,15891.811678698923,7312.402496040336,14698.629547481436,12920.602308429718,15553.74574411594,7854.159835537192,4313.5345449061315,19424.620112281053,20452.525681949246,25731.264252388213,24098.761552076812,14029.384595513773,12280.12233155194,16050.800680445325,10382.72171899409,15267.729687935163,16055.250798706842,17931.869752238028,18477.408677142528,20049.059089572133,16792.93379917448,14398.920406086221,20319.278557722915,13965.759595910396,13031.676628712888,22851.382153929968,29596.76909097783,10514.546646561948,44410.78521874374,19424.840930329876,40123.639932081016,32891.133572451545,28567.791923623794,26193.691300451555,24618.51354099813,33261.28057586693,26595.934642173226,18022.575251304173,22348.820768507067,23734.103946840663,16695.38639130287
Carcinoma_AGSCC_2_12_tumorales_no_tumorales.csv,2172.579940930518,3002.5417713971433,0.0,2765.71870483759,1215.7582728337964,893.4621127399198,4001.2864731638547,2696.1194248841034,766.2506358224704,3974.715631082221,4735.523610430119,2519.950305666633,1032.4623413441288,920.2091360704713,1283.0862283401298,6348.201037840579,6962.630101703307,581.0891979310134,1301.1932898718417,1333.549269981122,1321.9851724503033,3585.431183289102,2321.2709134942957,3683.3328585739855,6723.978282789883,1265.0405464166925,1593.9911401572692,2916.9502360965676,1144.3359397224965,3797.8016747456763,4480.5615098313565,1658.6819603963856,2923.8080871506627,5103.0547666457205,3866.4735633611785,3717.9048470164303,3695.231399844712,4655.237165197142,3778.6854943356852,3142.4312588210155,7170.315845043608,7778.501551995846,14894.430285196171,4614.649652098623,8126.506065435861,8204.709873665155,8699.777487341622,4387.167369072708,8216.103692713232,7876.213404505055,9147.284134243628,14379.391285524156,13653.90863954465,6894.914288333477,15272.72972890616,12287.239196635554,16520.045702626914,9578.983696833206,15870.933181305461,6661.594520402388,13297.29456461419,10655.463211185212,13368.207072797357,7207.900744559723,4341.754725190972,20657.73124251122,21765.396682622733,25377.758641817203,23602.137009308037,14549.028449868021,13174.985842648623,17076.296772121343,11427.235632323818,15562.416971478484,15887.152860921728,17342.307871899222,19884.13878001494,21386.53845717983,18181.30433058766,14868.946029774635,20124.874884610028,14964.515764499394,13595.740664233666,21961.069734488497,29325.314278292335,11305.994336470261,44338.595602001296,18956.675260643093,40190.67719754994,33144.20113252026,28732.345801660384,25750.614996517324,24550.341872895046,33598.25859681877,26163.570512018345,18213.74433151399,23894.956328111224,25309.1128077624,18098.502314945945
Carcinoma_AGSCC_2_13_tumorales_no_tumorales.csv,1049.2959095144706,556.2819825781371,2765.71870483759,0.0,1613.3561547741829,1923.6001774375297,1577.2514678269592,1578.9842103751382,2175.038134983215,1424.9023037105355,6762.223533109319,5230.117079983821,3505.0481990275825,3322.0372794168516,1971.4477902617014,3805.9921915617183,4419.203931318515,2418.0492360444728,3795.597670111313,1492.6000079844384,1684.437874801754,4271.569490957789,778.5093199213437,1055.3540135723708,4202.968636045021,2524.2774174718365,2315.340624973504,5558.431209236923,3506.3432775406177,1278.1638379516585,2100.839288073233,3698.3340665062924,4323.196444503354,2597.4798461383784,1542.7751889041617,1147.042363505302,1152.715532714829,2218.287079965317,1222.4253126057422,667.1551791062166,4718.335974558961,5378.351745271194,13208.93291984333,4380.851577822925,6695.905278856168,7849.7332282291445,8972.319187159217,4072.6494972873124,9033.470210350337,9042.081428942365,10336.797175551887,14250.106275414253,13625.685009298348,6689.063812045472,14618.986202188673,12043.658689225893,15896.010101854445,8185.061447783868,15784.263190572045,7255.817300007226,14612.206886105561,12776.812324241992,15401.819888149465,7841.639560054653,4358.595559718602,19436.27923606446,20475.446592081473,25620.575938557387,23988.334825236958,14067.295888907338,12336.344332597171,16042.431996427116,10439.575546073966,15194.981370899783,16045.391493793903,17921.192263366385,18527.567101490335,20099.29108304012,16899.02520704131,14402.719717220632,20247.186620183544,13921.280737436999,13040.86216902084,22790.072921513656,29485.53394538157,10541.05960256,44370.78806049134,19350.03002361015,40087.975912184374,32876.08981924983,28498.65119216658,26105.29513685494,24586.4412300434,33197.408629161946,26492.21071579114,17966.917201550557,22412.55324576627,23791.774288099412,16726.954863794992
Carcinoma_AGSCC_2_14_tumorales_no_tumorales.csv,1042.450089528045,1841.0746516196352,1215.7582728337964,1613.3561547741829,0.0,843.1997443802626,2876.8972421214926,1977.9194195499012,855.1651286896229,2802.7825621138577,5507.820645333502,3666.207398424293,2141.4265796833206,1952.1042378445504,1155.8664365410093,5184.887809306309,5797.604158399407,1142.0066652733829,2228.6056131945597,846.6953057364688,681.0531621053414,3282.619834052438,1241.4495549204908,2517.7063999392303,5565.759952812006,1182.0148879677972,1143.5032552405542,4029.589592547046,2158.4394923601735,2626.286209446618,3309.706928968961,2318.6637980741184,3128.9336785366613,3958.5395246380704,2716.4471170389133,2558.8874253372223,2524.4639466480844,3493.2739981192053,2610.38640451643,1963.13105229024,6009.984769525084,6631.921308538455,14151.442674083364,4183.451596607065,7349.242848982453,7845.757781230916,8498.359545865458,3853.8673836077196,8279.344513300546,8104.111147071848,9425.652666596136,14123.027209142412,13427.208105474123,6563.583141381027,14857.233183954673,11993.439325630434,16103.663326261581,8767.151293623507,15635.156179795587,6567.877543852926,13667.99564149106,11510.380299574079,14197.578740856123,7143.128645542244,3988.461480656125,20069.588405593982,21170.428411277167,25284.450650259754,23572.210048270364,14111.023278010058,12615.846310205547,16492.532423818993,10778.764809664059,15239.246368248256,15688.817987996717,17334.22143943852,19287.48871064716,20792.808538199864,17584.210879416798,14446.692314055135,19924.634487967058,14410.456076341854,13110.284184016436,22098.332970431966,29200.88958790984,10809.543242839905,44134.50162186135,18881.561199583775,39932.71864046133,32818.40635243294,28420.03400535734,25672.86822381529,24313.48342288226,33262.832970674855,26083.900646163394,17897.781105903367,23292.369345099003,24713.462311735893,17500.03508134046
Carcinoma_AGSCC_2_15_tumorales_no_tumorales.csv,1298.8620455617306,2187.883483421153,893.4621127399198,1923.6001774375297,843.1997443802626,0.0,3134.289212433994,1845.079346171101,331.8394090855671,3109.2638955613224,5501.159432082488,3380.1879192873926,1604.1402884581598,1475.6665507840191,573.2900573245951,5480.004018063538,6096.039508349498,583.6021400713586,2086.7425460127392,501.4145177322742,1004.9581914172041,3896.2592850945966,1463.4668383448304,2824.5270044297577,5850.796505531369,1598.4743302518327,1748.15933081706,3762.8254577108764,1643.3457830720497,2964.9972835221665,3881.7891870871736,2253.947823603511,3482.8130218795072,4235.151259306961,3129.309606120913,2876.7547722679305,2821.447085039414,3879.6079652797075,2906.4578962208284,2275.609777994215,6400.981167172804,7041.900743889195,14405.251472653996,4724.833637378221,7784.3116896367965,8390.787101922038,9019.826202991142,4422.516233966236,8717.659409978422,8479.309712647657,9780.831318873785,14649.598276109366,13951.305903370669,7092.3565520839065,15406.229012102434,12525.27987168069,16649.421225161626,9388.52514746003,16160.034560314954,7038.0457566230925,13976.065009496802,11450.640037752797,14159.258907323872,7611.071475619921,4523.47527244544,20482.772355110148,21539.5111878109,25774.973929676977,24048.87594271512,14728.796970926502,13259.512428847685,17048.96232985487,11371.75188236668,15773.121621822047,16248.754035496304,17841.524406811615,19594.82391574073,21144.59006724224,17896.55974851409,15055.042029438666,20486.20080988254,14923.110822593939,13759.336246032863,22543.848953146673,29701.196477117854,11354.209206619296,44685.987991917,19393.06963252258,40499.05125440723,33401.36915474509,28993.852295536515,26176.452290624362,24882.656542915123,33801.834324399926,26586.161225009615,18465.453436464337,23510.983519407495,24901.67937758207,17806.59282605923
Carcinoma_AGSCC_2_16_tumorales_no_tumorales.csv,1898.1087487867442,1450.309287681308,4001.2864731638547,1577.2514678269592,2876.8972421214926,3134.289212433994,0.0,1543.7677082829125,3317.600208154914,682.7175696732361,8306.569726846803,6504.145580313536,4638.46017145477,4475.628046724506,3188.076997829326,2399.2075835233763,3041.748904930993,3548.785059826334,5075.609223770742,2798.691213920525,3048.1742566247676,5653.010787645732,1708.5793750433754,887.0670445679536,2831.198426833427,3923.8202975804265,3745.5669433651346,6880.840730653996,4763.697800340158,711.0136920422328,1993.9667090432547,5175.199332974286,5745.402124954201,1144.4833126539381,1699.7889641031045,867.9669546743532,784.2032457280302,1442.9510684842771,1015.0536001956568,1149.5972824758649,3549.2497759656885,4312.652142808471,12749.496127430297,5406.569298162134,6799.960509411239,8928.936949283767,10150.189679338444,4976.216193401111,10372.370332311808,10338.63762710672,11680.763560996731,15355.573226540146,14719.960114583779,7859.839928393622,15317.92922985124,13084.588452462207,16593.968254483276,8567.813573371992,16866.928457937167,8540.924731045896,15978.97681181421,14262.672382677234,16894.682030016156,9055.311494995365,5479.67121260674,19551.775046547467,20537.449543643885,26765.385667915234,25177.22198460252,14965.632730078582,13026.885725808655,16462.94260944852,10938.586242537885,16077.45182769546,17203.285433246474,19194.87105142861,18498.816378331358,20101.090231637187,16850.21392557248,15341.275512517868,21418.22754588881,14298.588397170399,13971.449754802283,24111.630854123527,30600.053379627378,11113.174355184812,45441.78148863803,20571.727273412653,41117.97898176229,33853.49772052084,29509.376921512092,27307.096066521393,25717.298305667136,34029.843197551236,27686.398598684118,18975.079792605768,22244.937024085335,23529.494425180943,16740.697284984446
Carcinoma_AGSCC_2_17_tumorales_no_tumorales.csv,1134.253650741933,1677.958455279822,2696.1194248841034,1578.9842103751382,1977.9194195499012,1845.079346171101,1543.7677082829125,0.0,2008.3842585942828,1991.4643043309356,7252.8708669939415,5191.2494145518685,3304.71819115862,3174.6333824717385,1943.8832614326254,3777.416794459786,4436.350998745155,2247.2241183960023,3847.370497253045,1648.610781215595,1841.6289411257358,5243.372115323872,992.9495550448753,1754.9517281251785,4234.531413032935,3108.7071026062326,3056.275332581785,5585.485128093065,3457.258786460568,1818.3413371653062,3317.934579170046,4024.250334235291,5054.655206684296,2520.8259042407985,2413.707156752164,1832.9226303584667,1539.447379352859,2593.6440968664097,1751.3569883249845,1344.7428486326953,4946.97871451786,5684.7769726560955,13596.35163367901,5482.490629501736,7691.4942332087185,9150.492561821728,10114.970864793173,5134.752404014877,10086.352773152274,9952.465569263413,11294.44640218234,15541.701475060285,14905.872447601654,7943.097129075781,15907.055058861484,13350.530257605886,17172.50913792135,9425.459474490719,17075.682693844472,8303.84644796251,15550.797904268007,13238.449859501754,15948.478574772329,8889.217117702377,5434.648492823488,20427.996805840216,21417.944327984846,26882.58007436463,25231.416852004946,15437.55943182304,13720.292417588313,17260.142767626498,11664.959396011915,16500.41693011661,17333.44354128935,19135.360467648414,19366.459417561633,20971.81696618616,17728.2334342085,15774.708285727396,21555.722549965147,15097.225722357989,14444.479753179497,23940.099427042656,30759.66687199652,11745.264601234414,45680.164485242996,20595.3345662537,41412.28952874629,34225.078295059306,29834.92491233408,27355.42139091839,25908.247715958954,34506.86445778307,27749.239430876743,19288.624359761605,23068.54193927987,24326.604105365655,17616.89099119378
Carcinoma_AGSCC_2_18_tumorales_no_tumorales.csv,1500.0797758874774,2451.4798739742905,766.2506358224704,2175.038134983215,855.1651286896229,331.8394090855671,3317.600208154914,2008.3842585942828,0.0,3332.8508976357666,5426.975361804557,3202.384622475965,1375.558185886522,1262.7169665241709,759.933431883364,5687.699683405217,6303.903795431504,465.24015968307253,1929.5894405488596,733.5341719872364,1054.613751990201,3858.6804850048657,1660.2240355927113,3063.00298174023,6052.874286532669,1562.6295800392481,1730.5100091733088,3605.7431871133076,1490.2718266292213,3179.0268603234927,4086.986648337375,2179.7393292939337,3447.790931090456,4431.084191413929,3331.650914966884,3130.1826322821066,3041.1067814994553,4068.061125081663,3135.8537216077398,2494.6845735716797,6585.435386043748,7209.768560815486,14560.90666199612,4705.138908568299,7949.522323367414,8374.49415196322,8975.995764430745,4397.889164886235,8651.261793531477,8420.739209987656,9719.541271849095,14611.225711969575,13908.50267768053,7069.392596147351,15388.614195189897,12493.929120587161,16632.460656941428,9476.591602793047,16118.14349123483,6983.731523264434,13914.51722346242,11315.823091436474,14028.793920244549,7554.03189737224,4503.092546411511,20594.840840361005,21677.725035003026,25721.758649268686,23992.349014273303,14721.713098814316,13259.861527669722,17077.00868676384,11408.344335887034,15750.16659242262,16204.753106321032,17782.198122836075,19758.80577396472,21290.541643571076,18058.38074160943,15043.657603665779,20442.545692915464,14954.416442207617,13763.694041581417,22487.10138817357,29654.757439274945,11350.882035720351,44644.521413626586,19336.046979541334,40460.798438705686,33366.54128456039,28959.419796610524,26123.336278967017,24841.597206765964,33788.914829400084,26536.631414348165,18432.070400662244,23687.18355367482,25061.25436823013,17969.1567904214
Carcinoma_AGSCC_2_19_tumorales_no_tumorales.csv,1947.1968685985207,1229.420731100353,3974.715631082221,1424.9023037105355,2802.7825621138577,3109.2638955613224,682.7175696732361,1991.4643043309356,3332.8508976357666,0.0,8095.418458590665,6449.636802014244,4664.521688943497,4453.355699957008,3088.526999438621,2402.1049791773694,3014.239097693443,3532.0640696728155,4992.1875236052465,2729.759016933925,2963.949810549916,5352.952456570402,1705.6491763692738,645.0800879849027,2802.1099985728792,3707.775801140364,3531.6714298166116,6802.879105459039,4709.310001021809,478.08863287520876,1372.3452759743645,5012.607724312004,5470.606781561783,1237.3453124143057,1213.268040006214,521.1768615711985,621.4031846355996,1376.989832596328,770.1236025185665,949.6849324327197,3433.308143900499,4139.902704635895,12593.679642298346,4925.283142522256,6333.513638945248,8414.896406349266,9668.62992954186,4503.44692699261,9934.63034290316,9945.557235080843,11273.999387420794,14835.273669915505,14194.825904431753,7378.151546111872,14782.750546931378,12539.16058476366,16058.791271727272,8068.821272298974,16336.817263569777,8097.597339844739,15572.609695437797,14033.417050150132,16656.521097316323,8582.295341434561,4998.84717752862,19164.92434294594,20162.121091008972,26246.18737235571,24676.934635841495,14372.34960307328,12452.302977479405,15953.01068099429,10383.818132350532,15520.901454705712,16664.080096131056,18676.46837292548,18134.446728069153,19730.61623019426,16477.774993856136,14751.146061505637,20882.70205788241,13815.787293998823,13376.143572398649,23600.65505593423,30071.101896247335,10578.193858743329,44870.72119794199,20063.70455722433,40539.108324984234,33263.54457406004,28939.20213985969,26792.856261379315,25160.33261543652,33476.719772366865,27182.1365477137,18402.24291596999,21930.65703699182,23283.1729886856,16371.122353305067
