,Carcinoma_AGSCC_2_10_mieloides_no_tumorales.csv,Carcinoma_AGSCC_2_11_mieloides_no_tumorales.csv,Carcinoma_AGSCC_2_12_mieloides_no_tumorales.csv,Carcinoma_AGSCC_2_13_mieloides_no_tumorales.csv,Carcinoma_AGSCC_2_14_mieloides_no_tumorales.csv,Carcinoma_AGSCC_2_15_mieloides_no_tumorales.csv,Carcinoma_AGSCC_2_16_mieloides_no_tumorales.csv,Carcinoma_AGSCC_2_17_mieloides_no_tumorales.csv,Carcinoma_AGSCC_2_18_mieloides_no_tumorales.csv,Carcinoma_AGSCC_2_19_mieloides_no_tumorales.csv,Carcinoma_AGSCC_2_1_mieloides_no_tumorales.csv,Carcinoma_AGSCC_2_20_mieloides_no_tumorales.csv,Carcinoma_AGSCC_2_21_mieloides_no_tumorales.csv,Carcinoma_AGSCC_2_22_mieloides_no_tumorales.csv,Carcinoma_AGSCC_2_23_mieloides_no_tumorales.csv,Carcinoma_AGSCC_2_24_mieloides_no_tumorales.csv,Carcinoma_AGSCC_2_25_mieloides_no_tumorales.csv,Carcinoma_AGSCC_2_26_mieloides_no_tumorales.csv,Carcinoma_AGSCC_2_27_mieloides_no_tumorales.csv,Carcinoma_AGSCC_2_28_mieloides_no_tumorales.csv,Carcinoma_AGSCC_2_29_mieloides_no_tumorales.csv,Carcinoma_AGSCC_2_2_mieloides_no_tumorales.csv,Carcinoma_AGSCC_2_30_mieloides_no_tumorales.csv,Carcinoma_AGSCC_2_31_mieloides_no_tumorales.csv,Carcinoma_AGSCC_2_32_mieloides_no_tumorales.csv,Carcinoma_AGSCC_2_33_mieloides_no_tumorales.csv,Carcinoma_AGSCC_2_34_mieloides_no_tumorales.csv,Carcinoma_AGSCC_2_35_mieloides_no_tumorales.csv,Carcinoma_AGSCC_2_36_mieloides_no_tumorales.csv,Carcinoma_AGSCC_2_37_mieloides_no_tumorales.csv,Carcinoma_AGSCC_2_38_mieloides_no_tumorales.csv,Carcinoma_AGSCC_2_39_mieloides_no_tumorales.csv,Carcinoma_AGSCC_2_3_mieloides_no_tumorales.csv,Carcinoma_AGSCC_2_40_mieloides_no_tumorales.csv,Carcinoma_AGSCC_2_4_mieloides_no_tumorales.csv,Carcinoma_AGSCC_2_5_mieloides_no_tumorales.csv,Carcinoma_AGSCC_2_6_mieloides_no_tumorales.csv,Carcinoma_AGSCC_2_7_mieloides_no_tumorales.csv,Carcinoma_AGSCC_2_8_mieloides_no_tumorales.csv,Carcinoma_AGSCC_2_9_mieloides_no_tumorales.csv,Carcinoma_FAHNSCC_14_1_mieloides_no_tumorales.csv,Carcinoma_FAHNSCC_14_2_mieloides_no_tumorales.csv,Carcinoma_FAHNSCC_14_3_mieloides_no_tumorales.csv,Carcinoma_FAHNSCC_14_4_mieloides_no_tumorales.csv,Carcinoma_FAHNSCC_14_5_mieloides_no_tumorales.csv,Carcinoma_FAHNSCC_15_1_mieloides_no_tumorales.csv,Carcinoma_FAHNSCC_15_2_mieloides_no_tumorales.csv,Dysplasia-HG_FAHNSCC_15_1_mieloides_no_tumorales.csv,Dysplasia-HG_FAHNSCC_15_2_mieloides_no_tumorales.csv,Dysplasia-HG_FAHNSCC_15_3_mieloides_no_tumorales.csv,Dysplasia-HG_FAHNSCC_15_4_mieloides_no_tumorales.csv,Dysplasia-LG_FAHNSCC_15_1_mieloides_no_tumorales.csv,Dysplasia-LG_FAHNSCC_15_2_mieloides_no_tumorales.csv,Dysplasia-Stroma_FAAGSCC_13_1_mieloides_no_tumorales.csv,Dysplasia-Stroma_FAAGSCC_13_2_mieloides_no_tumorales.csv,Dysplasia-Stroma_FAAGSCC_13_3_mieloides_no_tumorales.csv,Dysplasia-Stroma_FAAGSCC_13_4_mieloides_no_tumorales.csv,Dysplasia-Stroma_FAAGSCC_13_5_mieloides_no_tumorales.csv,Dysplasia-Stroma_FAAGSCC_13_6_mieloides_no_tumorales.csv,Dysplasia-Stroma_FAAGSCC_13_7_mieloides_no_tumorales.csv,Dysplasia-Stroma_FAAGSCC_13_8_mieloides_no_tumorales.csv,Dysplasia_FAAGSCC_13_1_mieloides_no_tumorales.csv,Dysplasia_FAAGSCC_13_2_mieloides_no_tumorales.csv,Dysplasia_FAAGSCC_13_3_mieloides_no_tumorales.csv,Dysplasia_FAAGSCC_13_4_mieloides_no_tumorales.csv,Stroma_ad_Carcinoma-Dysplasia_FAHNSCC_14_1_mieloides_no_tumorales.csv,Stroma_ad_Carcinoma_AGSCC_2_10_mieloides_no_tumorales.csv,Stroma_ad_Carcinoma_AGSCC_2_1_mieloides_no_tumorales.csv,Stroma_ad_Carcinoma_AGSCC_2_2_mieloides_no_tumorales.csv,Stroma_ad_Carcinoma_AGSCC_2_3_mieloides_no_tumorales.csv,Stroma_ad_Carcinoma_AGSCC_2_4_mieloides_no_tumorales.csv,Stroma_ad_Carcinoma_AGSCC_2_5_mieloides_no_tumorales.csv,Stroma_ad_Carcinoma_AGSCC_2_6_mieloides_no_tumorales.csv,Stroma_ad_Carcinoma_AGSCC_2_7_mieloides_no_tumorales.csv,Stroma_ad_Carcinoma_AGSCC_2_8_mieloides_no_tumorales.csv,Stroma_ad_Carcinoma_AGSCC_2_9_mieloides_no_tumorales.csv,Stroma_ad_Carcinoma_FAHNSCC_14_1_mieloides_no_tumorales.csv,Stroma_ad_Carcinoma_FAHNSCC_14_2_mieloides_no_tumorales.csv,Stroma_ad_Carcinoma_FAHNSCC_14_3_mieloides_no_tumorales.csv,Stroma_ad_Carcinoma_FAHNSCC_15_1_mieloides_no_tumorales.csv,Stroma_ad_Carcinoma_FAHNSCC_15_2_mieloides_no_tumorales.csv,Stroma_ad_Dysplasia-HG_FAHNSCC_15_1_mieloides_no_tumorales.csv,Stroma_ad_Dysplasia-HG_FAHNSCC_15_2_mieloides_no_tumorales.csv,Stroma_ad_Dysplasia-HG_FAHNSCC_15_3_mieloides_no_tumorales.csv,Stroma_ad_Dysplasia_FAAGSCC_13_10_mieloides_no_tumorales.csv,Stroma_ad_Dysplasia_FAAGSCC_13_11_mieloides_no_tumorales.csv,Stroma_ad_Dysplasia_FAAGSCC_13_1_mieloides_no_tumorales.csv,Stroma_ad_Dysplasia_FAAGSCC_13_2_mieloides_no_tumorales.csv,Stroma_ad_Dysplasia_FAAGSCC_13_3_mieloides_no_tumorales.csv,Stroma_ad_Dysplasia_FAAGSCC_13_4_mieloides_no_tumorales.csv,Stroma_ad_Dysplasia_FAAGSCC_13_5_mieloides_no_tumorales.csv,Stroma_ad_Dysplasia_FAAGSCC_13_6_mieloides_no_tumorales.csv,Stroma_ad_Dysplasia_FAAGSCC_13_7_mieloides_no_tumorales.csv,Stroma_ad_Dysplasia_FAAGSCC_13_8_mieloides_no_tumorales.csv,Stroma_ad_Dysplasia_FAAGSCC_13_9_mieloides_no_tumorales.csv,Stroma_ad_Dysplasia_FAHNSCC_14_1_mieloides_no_tumorales.csv,Stroma_ad_Dysplasia_FAHNSCC_14_2_mieloides_no_tumorales.csv,Stroma_ad_Dysplasia_FAHNSCC_14_3_mieloides_no_tumorales.csv,Stroma_ad_Dysplasia_FAHNSCC_14_4_mieloides_no_tumorales.csv
Carcinoma_AGSCC_2_10_mieloides_no_tumorales.csv,0.0,2040.3881565336778,1105.4786923266552,1431.678863748665,1184.439654527514,732.1557145909944,993.8036559888757,2178.620738815119,1707.365593681206,1233.9473380211261,1860.173094465778,2901.512596683581,2605.206044841384,1509.6605860062493,1706.1820811183152,1170.7146481975124,977.1304315356788,1159.694238326121,1548.3245880341797,2507.8982732183786,1255.7473512438764,1192.4035003789338,2061.4202642837627,2112.5329673022957,2198.922505819841,1310.6427043165738,1119.677339220105,1183.8631841629963,1838.0985818031097,2539.1241578596546,970.2810969108543,1813.4035268092953,1452.6608072878837,1099.8956579559372,931.9292547331831,933.5495975529029,1085.450248512344,1075.846538981241,652.7937032727029,1518.8525238846587,2903.054592167401,3810.6786308216515,2970.340807331484,6487.8060097507805,7361.476538788755,11521.614324792099,11605.285932714194,5906.458984150951,7776.512211130092,8759.434929585099,11331.891574140069,10064.05135053768,10301.984799418056,7096.195277967347,14685.463409220907,12192.741243362756,15078.550862662103,8450.59662942756,13436.783746084358,9690.212925361277,16242.856783529713,5871.7244822106995,5985.629282653561,7124.851545188087,3922.7060165300704,12912.726880942393,14915.387033672958,30815.546853860535,29696.771333406752,24760.043036877632,21635.164170787044,19887.57300720234,21557.559938654165,21882.125892067088,25786.155389283736,28997.325582368143,13242.125926135805,13844.447769792534,13987.029078972535,21403.560650929638,27831.9787220496,18743.395594083515,22314.357467711496,31079.794766111998,35093.15421203419,20431.346355469235,43801.07470247156,29339.21151319614,37116.78769736025,35961.52995165489,33679.55443101318,27476.266956633794,23383.6319603343,30133.00482257964,32925.44660421534,21910.90493182233,15180.257065687301,14581.117128963002,17256.187930563046
Carcinoma_AGSCC_2_11_mieloides_no_tumorales.csv,2040.3881565336778,0.0,2893.0877882440886,1659.2882073477692,2148.9752054869186,2389.427805287604,2152.93159267287,4017.819501713359,3630.4413285747178,3011.5326516458454,1269.639889566702,4618.615969044799,4540.557944663318,1971.037557166161,3040.765771225785,3075.271798039486,2848.548506456299,2792.9394501604966,3463.9429458898126,4353.012722252518,2817.021630104546,2648.1323012901853,4020.0988621106126,4044.9880441022387,4179.942652654598,2162.7637339593857,2317.2045250388032,2263.58125330344,3756.7685527054678,4468.521957675251,2897.8027582607247,3584.8011625275744,3377.3845843949007,2925.477417802269,2503.0325350890307,1989.2643140624305,1417.5421955710917,2063.0085144439413,2215.8821581593593,3064.2997223143548,2014.3651983028012,3016.7779375816376,2287.339014914588,5432.440078456379,6804.074349262089,10873.257564954958,10965.557344638542,5189.57747871284,6685.475416574455,7434.496356879672,10333.853935452658,9331.348614925222,9666.89010511259,6161.654339874126,14361.926008404453,11663.14955113967,14759.552363127828,7671.396175728699,12580.549906473752,8839.811840984528,15421.303890938712,4290.323259299001,4199.786389990831,6044.5287523741235,2824.327026203104,12912.011016460223,14863.56462268987,30312.621552297256,29278.446250913286,24459.049017905072,21479.199535972093,19810.201561784306,21534.95269476743,21697.86493219701,25428.678390471654,28650.78263260542,13295.775548190342,13933.211889944801,14067.698330529025,20821.986917445163,26849.1106798357,18426.201132995913,21818.569739620205,30433.47088594037,34160.89234390128,20322.804469738923,42227.990986810924,28422.542866982738,35284.776245046814,34279.277140219085,32009.38322375648,26157.15473522431,21656.185745507766,28483.129339324474,31863.57886600875,21414.544157502754,15349.109394938123,14718.450119759964,17369.84206818679
Carcinoma_AGSCC_2_12_mieloides_no_tumorales.csv,1105.4786923266552,2893.0877882440886,0.0,2368.1416444122383,1057.4552658852358,825.1108417299304,1508.1753125175644,1831.9917844747715,1337.5190095364949,1051.8013425055124,2382.5121327210795,2877.580081471748,2091.9345952997396,2013.6756081349056,1922.49206323709,867.9969449437037,871.3957621885716,1058.1916386465227,1054.8785939972838,2055.294142651234,1458.09786298248,783.9564628580856,1504.8611400027253,1368.9513929276911,1787.8359347099567,1619.1626495011462,1414.3447232243188,1017.3214407703131,1098.5102716950664,1759.1089639883185,696.0436173062643,1049.0235908743646,950.681357921275,582.6391155661217,1333.4003991083946,1356.7288080733708,1702.367056854284,1488.8101433251409,1278.1761801016532,1725.6920029780126,3795.039510428879,4565.213398672532,3711.9313643039654,7255.574347882931,8040.748273764665,12211.693690711329,12285.191263725992,6622.514374366763,8621.683482944032,9694.818409868823,12128.731377902817,10879.849105843847,11084.469357302603,7889.529344801263,15290.176604874629,12915.63913225027,15681.530301946925,9172.838062772369,14233.11554334253,10528.545988127134,17125.03467463972,6855.087467438309,6764.936128053027,7969.533846045288,4854.507245982598,13424.001087381585,15429.497378853306,31481.725044339713,30351.295830847248,25347.26754468494,22154.326179776643,20402.881463918606,22066.392456864793,22403.213845443384,26425.45692234823,29625.594626773855,13749.298252897885,14340.098714032341,14481.867847603668,22078.584994860707,28576.737242734827,19355.431901105796,22979.39854155145,31751.33024066993,35809.14208374112,20944.96223848242,44785.41477050056,30120.911621638465,38082.27310787599,36946.69516286541,34664.46881419874,28381.408280130912,24289.953159759458,31116.408507012744,33722.30387963808,22576.40552325142,15609.94226878372,15041.657857902317,17727.58606814531
Carcinoma_AGSCC_2_13_mieloides_no_tumorales.csv,1431.678863748665,1659.2882073477692,2368.1416444122383,0.0,1672.6898357834084,2034.0278997173582,1203.1577029317586,2886.5962874229617,2701.0632228939066,2327.114078578492,1475.9373290673186,3357.0377151275793,3364.068296328641,1941.426364483278,2492.2853194803893,2309.451495429458,1928.3617049733166,1809.5399753192346,2485.279026570996,3072.1890956823313,1837.5868022257293,2184.3002273225025,3017.909401771814,3223.627701427909,3190.01795087337,1971.0813253903527,1956.9060682935406,2134.555055981915,3088.6464354089503,3631.8258777329715,2201.380051193374,3107.658418874547,2696.3859099347774,2457.6687947118326,1424.3460103706323,1855.3417801340092,1618.7887485642932,1342.7808143285138,1553.911667871838,2006.2612832259467,1621.319950586041,2671.9088043053475,1802.6851129035988,5184.037792834108,6513.141133856762,10540.559777697235,10637.347520734997,4726.097810944223,6450.038940982888,7436.753926765688,10050.538265157315,9233.88743329267,9479.934329837015,5840.221575969543,14142.53462044232,11385.774327432493,14553.681611131378,7366.524691703958,12281.355304694784,8532.931350447248,15365.154632808159,4750.807720177081,5415.707630434531,5798.334555233238,2646.5565870150267,12843.084316716668,14795.514418448876,30004.95823945693,28983.90491332867,24255.734190374802,21387.708638425403,19735.205964205856,21465.467031496326,21584.43761347572,25174.177202922863,28397.65575066787,13235.995241667875,13873.29149212621,14008.223257375112,20498.002961176993,26562.128670312326,18237.128431775112,21508.89321935582,30104.598180109835,33874.49290887882,20241.676429160278,42570.49310024069,28143.47758596767,36127.668950103456,35072.11691218712,32597.154040278114,26111.392656628428,22676.0107390927,28992.49467842272,31617.20215186482,21105.219364612585,15279.97677642457,14656.049058039234,17308.61123857924
Carcinoma_AGSCC_2_14_mieloides_no_tumorales.csv,1184.439654527514,2148.9752054869186,1057.4552658852358,1672.6898357834084,0.0,1387.9284964161493,1098.7243996925363,2259.117528163558,1974.7173872859041,1445.6427493431104,2025.5838024636796,3253.001954850577,2626.807853098674,2388.5478299040424,2517.7014190452314,1424.9137871959008,1313.0430301395725,1087.1641055524474,1615.647912195303,2495.742830308771,1842.046262809762,956.8008080465261,2146.3762098432708,2088.8823033215585,2440.5805253051835,2098.9088352522435,2067.5135941130347,903.3035468459213,1733.5708555624756,2450.8863460976727,1306.2791774216662,1651.7156030836313,1451.7646749731575,1295.8434488843084,1442.9560185436883,1297.9069924288756,1258.922961531697,1471.6891315056173,1445.0280132655475,2006.3304847832148,3057.0923312510827,4167.807759947103,3316.298219596168,6692.4817532820925,7886.001154361069,12006.599905587427,12086.562878831186,6235.378309858403,7962.749636368615,8913.87326381986,11566.265534687782,10459.575243261568,10762.34551901347,7360.238787241478,15374.678094841896,12731.273953444603,15769.024610227347,8829.786372032295,13761.786243389774,10002.060905698405,16595.964680088317,6033.419400454804,6025.7252497899535,7311.265001556463,4098.696222328052,13781.766466642244,15764.551909404123,31390.22705601983,30321.979357460874,25464.769332633237,22411.816829884585,20721.90601248837,22421.501958017223,22643.686081059383,26445.9684732351,29668.858442594083,14107.378414171573,14697.515302254693,14840.871164785789,21939.950932331827,28087.666832941755,19431.66459787633,22896.65312146607,31576.223189132972,35399.41089321164,21242.009285378466,43959.66505994116,29656.847611330006,37242.63283020889,36119.61064065342,33839.753919134535,27607.49073361428,23453.32232590624,30290.548573337386,33133.324468466635,22490.800168362188,15975.990354507496,15405.448486891051,18090.295061791872
Carcinoma_AGSCC_2_15_mieloides_no_tumorales.csv,732.1557145909944,2389.427805287604,825.1108417299304,2034.0278997173582,1387.9284964161493,0.0,1503.345855172929,2104.446280890214,1677.8221343533219,1137.0891733523713,1957.319470961691,2835.5418525147797,2523.660908893876,1720.6893751582975,1569.8854347723193,1247.5496057506084,1187.848321135112,1335.8279725830012,1466.2683562173593,2429.414543433562,1397.748021094371,1111.8121004227132,1996.4128840961955,1855.7673888753645,2108.534486415692,1238.044447162847,1110.3900181046465,1060.9870795877332,1516.5680220038544,2301.450597653199,889.4564730688353,1423.616570950416,1343.438212716152,715.8750611499315,1275.4539111639706,905.7195317464029,1256.9769518688815,1412.685661488845,795.0552402910364,1571.3091197283811,3457.6503240159054,4290.495810521594,3444.8286430585445,6982.9223328045055,7803.944247060539,11980.57877489917,12061.922080026927,6381.738453798638,8299.392149035535,9329.46112859169,11823.172653968073,10555.429884414698,10788.521869265249,7585.802719432117,15030.385272802196,12650.936115330596,15419.802349957605,8928.439840606465,13918.99482331464,10193.192814401318,16760.95892206647,6396.900859117806,6274.233662919431,7641.113669813779,4493.67287266243,13087.130985706346,15103.582101866954,31206.066648342854,30070.489715484964,25093.583187263954,21865.907512498303,20077.90630184108,21732.906683858586,22117.399250936578,26150.778944159916,29354.922001513092,13378.597221346774,13965.794609690021,14107.57641629065,21823.656291100175,28318.096635204736,19090.279956822724,22709.297418516642,31513.601750239864,35567.103623503026,20625.512238996966,44356.0452585668,29821.537425735452,37568.368323712064,36467.98736760539,34185.849978448714,28036.871349745477,23773.471162706937,30652.500139863623,33420.549969675354,22314.182615460366,15249.450222192256,14665.836585438245,17351.018040216793
Carcinoma_AGSCC_2_16_mieloides_no_tumorales.csv,993.8036559888757,2152.93159267287,1508.1753125175644,1203.1577029317586,1098.7243996925363,1503.345855172929,0.0,2316.469422880552,1952.0556121686973,1599.9145266452,2343.513249506591,2897.414959408324,2710.6510597727897,2172.5090998749047,2360.260701819755,1508.1757380027675,1123.4448107412513,1069.6475450290318,1737.8914552335823,2361.202231974628,1929.3459094406971,1337.3174456785362,2284.03483555067,2462.489594388021,2438.463669609526,1895.7119027062427,2027.4950814252427,1238.2850919124141,2186.924500500871,2859.8423763807023,1404.5089838688,2162.415960941644,1851.0874006125186,1578.2331778184853,848.2072626827124,1086.581397235101,1237.2285550016845,1718.0204234133423,1059.2693578777096,1849.4411855602584,2706.7447755615044,3687.5561272227783,2854.2371554236865,6289.728520445928,7395.932133176344,11516.692119883777,11596.359446697988,5790.253877780411,7560.385490658126,8457.856329882117,11147.708639656526,10089.111911355281,10339.917465136172,6913.207548626635,14880.613797834258,12241.127087371327,15274.294476539055,8354.320439414521,13296.91841741868,9527.473912836449,16142.38107861373,5480.360556672495,6174.636518510936,6909.693850985986,3642.8462855153034,13121.163248566252,15135.357641040582,30899.222189411103,29829.262932147525,24966.4580866254,21853.92255788496,20108.118227946292,21765.74157982194,22102.823393610615,25954.7222696272,29177.695002886056,13417.165046902044,14009.610978025601,14153.037921652603,21449.83821413546,27662.821550368866,18936.795977289436,22406.296338800636,31087.046995240256,34959.3510025886,20646.474123231426,43432.585948681444,29209.675161885913,36858.17176680447,35821.197396608804,33333.54908491526,27158.620050350197,23452.844294019396,29740.459962869627,32732.532846035418,22000.190865113374,15310.473691888004,14722.395694143037,17403.932234569416
Carcinoma_AGSCC_2_17_mieloides_no_tumorales.csv,2178.620738815119,4017.819501713359,1831.9917844747715,2886.5962874229617,2259.117528163558,2104.446280890214,2316.469422880552,0.0,696.4689616885726,1379.4085156563615,3867.5603059563205,1567.2971280018455,826.2974869502533,2254.275779895581,1166.818733792899,1694.7506850041798,1490.2504837285383,1508.535455298783,1020.5330786067658,827.0884251510037,1511.3106486610236,2345.754092219965,743.9295389281504,1183.9370457233704,749.3216660192188,1937.5062398465311,2107.6798627630187,2401.3137320468313,1586.258339559411,1206.7699822250333,1562.0428370051081,2262.827423158632,1590.058090652522,1624.0616114554357,1829.8844299095504,2485.9410797170444,2938.46647594337,2239.400494757639,1875.0386906840008,1040.0207200590935,4146.015922589261,4770.092850282478,4054.774242580334,7286.491333262835,8008.318068578235,12030.60002876786,12122.49451295429,6556.050356624831,8920.957328199167,10226.627731443927,12412.515715940777,11448.498812064037,11356.886684193647,8181.097864311765,14612.186449842322,13005.815793651962,15054.240526122161,9131.178416511406,14597.951431311718,10947.768403153334,17796.955638593077,7574.798216122161,7966.113695627118,8164.090290042474,5428.527057885194,12250.300193272024,14360.713456714957,30968.176976180275,29811.645771873973,24646.210615723725,21214.75059913782,19274.787167068167,20856.371795987703,21422.91270826355,25973.75314790326,29026.248617000525,12410.542541515017,12957.056759350166,13098.490706998311,21701.258944113444,28590.682320370084,18776.991003375428,22506.316094565685,31376.395207934034,35792.11685900639,19874.842684103674,45426.11009027704,30405.812810011666,38951.25983281482,37815.0548713063,35437.55902673528,28779.10229877263,25322.364954158442,31831.567837366772,33862.42352925726,22117.732555248815,14111.817311953937,13613.43566201975,16304.420780461725
Carcinoma_AGSCC_2_18_mieloides_no_tumorales.csv,1707.365593681206,3630.4413285747178,1337.5190095364949,2701.0632228939066,1974.7173872859041,1677.8221343533219,1952.0556121686973,696.4689616885726,0.0,1016.3330526457617,3382.1805540685955,1906.6726775402985,1144.1079133851226,1831.3995538887207,967.743265108353,1200.5217539753853,1082.7260284104032,1188.7238222479214,645.07049590991,1102.393688230383,1235.0131001434122,1879.5042557546294,574.845763582669,824.565231346169,725.3791327412066,1545.9366121490498,1631.5211626798848,1999.9143059158268,1318.4262938421182,1066.3614523811248,1149.3344313246614,1915.6139261940039,1345.8622201885728,1184.9683201208204,1659.6015801954072,2071.746031408693,2523.626669750919,1837.6825253660681,1527.5888638123436,953.7892647100944,4030.0901502313905,4746.083195379455,3935.5898693590198,7354.314891211928,8037.9421025255415,12167.067228136899,12215.764819499478,6662.377486544563,8843.472894031094,10057.07902187098,12337.602681659218,11254.104182283398,11224.954904069125,8092.927985257565,14847.897287399137,12983.521964722524,15274.03106215675,9188.321376830414,14482.72076537675,10791.106775880704,17559.879001652458,7370.029585248526,7551.490689391327,8147.6297345410785,5250.04856336059,12528.712166534026,14611.244995344163,31176.503891833483,30009.355706170685,24895.09282156625,21465.10385754939,19549.11245920028,21119.38513613044,21686.839816224885,26116.879319388565,29240.695593420896,12692.974179575485,13231.971227164593,13382.46737564486,21876.433624955363,28647.73462092542,18995.120739346075,22700.660513694245,31560.0075324463,35848.08967346308,20139.094566710693,45244.67733577502,30283.060071567535,38698.719707539436,37500.561966041816,35215.59842991156,28671.75955342271,24934.16608979192,31612.394697468524,33879.80614043238,22311.796687101072,14395.267278131534,13897.252192414884,16589.08169559494
Carcinoma_AGSCC_2_19_mieloides_no_tumorales.csv,1233.9473380211261,3011.5326516458454,1051.8013425055124,2327.114078578492,1445.6427493431104,1137.0891733523713,1599.9145266452,1379.4085156563615,1016.3330526457617,0.0,2846.9090683566073,1996.7721887059852,1682.7786922735393,1809.0496814869616,1404.1022989357625,1140.675729765892,1001.7303424228644,992.1168939925004,869.8831923383,1480.6553677819513,1250.6334491740618,1512.434545792081,1332.7689856684347,1310.006422750011,1682.4712443838455,1264.4404564551114,1260.492271518415,1413.2639483344183,1161.507753229381,1624.0037489898418,796.856350475247,1604.4516902848154,1083.9534378419426,875.6977758585781,1283.3295535692027,1549.5544594965081,1917.3927296899271,1393.7613978618701,996.6666081660608,1069.784020246801,3737.85443092494,4467.420194894655,3631.0228776137983,7161.625204415837,7888.978401330203,12068.238614912168,12138.49023534133,6508.761448873965,8544.63979900411,9645.907332645244,12049.85904318078,10816.000758799564,10999.556260506388,7799.13957696684,14992.395391755135,12765.502230369862,15392.857661339402,9042.97662232865,14162.418440806594,10455.782827408942,17077.052814661387,6848.545939469257,6908.013938728473,7884.147721541801,4808.96808111326,12855.531845063642,14880.887477934573,31253.29290274861,30098.42843357127,25055.664120871686,21704.076868961576,19862.828607089737,21480.80312399047,21950.72484534834,26169.031848104147,29350.952875058218,13096.781265826454,13682.821428342077,13822.696639544289,21874.355203297924,28472.55875462992,19088.22640212513,22759.026889608056,31577.177341191607,35682.91178349019,20424.371843605568,44765.86189121947,30025.502210096656,38132.91851040792,36956.76806835671,34670.020435649865,28332.73532253222,24355.94492686854,31104.94068815199,33629.43520788399,22363.05423862688,14947.886776672602,14376.025450033778,17060.653259755014
